Subject,Trial,Fixation #,X_Coord,Y_Coord,ROI,feature
55.0,1.0,1.0,960.06,539.96,eye,"[ 6.19563728e-02 -7.63543576e-02  1.21396987e-01  1.63292403e-02
  2.37643531e-02  5.68355815e-02  8.08495684e+01 -2.65426747e+01
  9.43876802e+01  1.04578663e+01  3.85886762e+00  1.08830513e+01
  1.41000000e+00]"
55.0,1.0,2.0,958.26,543.02,,"[ 2.22704923e-01 -3.98224772e-02  3.79193713e-01  1.65472450e-01
  1.19824215e-01  3.15459951e-01  6.81173664e+01  5.81314071e+00
  6.80894151e+02  5.37418667e+01  2.97733671e+01  4.93377324e+02
  5.00000000e-03]"
55.0,1.0,3.0,914.71,519.54,eye,"[ 8.89119320e-02 -5.33202505e-02  7.41303915e-02  3.43248624e-02
  3.90300427e-02  5.50313051e-02  9.57476041e+01 -1.76378896e+01
  1.04611191e+02  1.61743484e+01  8.62128097e+00  1.69740546e+01
  2.55000000e-01]"
55.0,1.0,4.0,1010.11,519.29,eye,"[ 7.36294028e-02 -6.35068154e-02  9.40575228e-02  2.97170048e-02
  3.83056982e-02  6.78715160e-02  1.24991108e+02 -4.15638660e+01
  6.44434289e+01  2.09356590e+01  7.74486871e+00  9.66581976e+00
  2.39000000e-01]"
55.0,1.0,5.0,1004.23,522.01,eye,"[ 1.84421706e+00 -3.55598940e-01  2.60375301e-01  4.15804076e-01
  2.02121496e-01  1.80920528e-01  3.63304766e+02 -4.43745712e+01
  9.62558446e+01  2.41347173e+02  4.17404816e+01  6.13234042e+01
  7.00000000e-03]"
55.0,1.0,6.0,973.09,534.69,eye,"[ 4.86591645e-02 -4.70463913e-02  8.27923976e-02  2.01476639e-02
  2.96510939e-02  6.18648204e-02  1.06950569e+02 -3.71845364e+01
  7.73183034e+01  1.74245496e+01  7.19639444e+00  1.12879427e+01
  2.94000000e-01]"
55.0,1.0,7.0,969.8,538.33,eye,"[1.06759570e+00 2.01569487e-01 7.27135009e-01 2.56287427e-01
 2.31197036e-01 5.06990647e-01 1.39343453e+02 8.40762696e+00
 3.26757057e+02 1.07216943e+02 3.29967235e+01 2.24025580e+02
 6.00000000e-03]"
55.0,1.0,8.0,899.01,521.57,eye,"[ 5.91766693e-02 -3.98373482e-02  6.78671133e-02  2.76792120e-02
  3.30283367e-02  5.40418566e-02  5.61265383e+01 -1.94171737e+01
  8.27599327e+01  1.08882913e+01  7.39176463e+00  1.58844655e+01
  1.53000000e-01]"
55.0,1.0,9.0,899.94,525.01,eye,"[ 2.39462259e-01 -4.33285288e-02  1.85857847e-01  2.04432877e-01
  8.39695880e-02  1.60819066e-01  2.11302234e+03  1.82388789e+02
  5.13697361e+02  1.28471446e+03  1.30608755e+02  3.11815269e+02
  8.00000000e-03]"
55.0,1.0,10.0,1033.89,523.12,eye,"[ 4.18201014e-02 -4.45027008e-02  9.02975254e-02  1.57527574e-02
  2.72417257e-02  6.30907549e-02  9.13609967e+01 -1.85466309e+01
  6.46853386e+01  1.41749839e+01  5.98408360e+00  9.78679146e+00
  3.42000000e-01]"
55.0,1.0,11.0,1033.84,522.3,eye,"[1.03289426e+00 6.32921505e-02 2.90491500e-01 2.86631034e-01
 1.50453468e-01 2.24111722e-01 2.46356067e+02 1.43728367e+01
 9.07822778e+01 1.73511813e+02 3.42789883e+01 5.81611863e+01
 7.00000000e-03]"
55.0,1.0,12.0,923.41,520.28,eye,"[ 5.16992338e-02 -4.01223322e-02  6.83637481e-02  1.99862701e-02
  2.97960568e-02  5.20509882e-02  7.15615257e+01 -5.70385976e+00
  6.87638072e+01  1.09572640e+01  5.39368455e+00  1.02973677e+01
  3.46000000e-01]"
55.0,1.0,13.0,900.74,519.38,eye,"[ 3.84228106e-02 -2.48694135e-02  6.61847719e-02  2.11095216e-02
  2.95300662e-02  5.21930389e-02  7.49733537e+01 -7.87652527e+00
  7.35283961e+01  1.47298647e+01  8.19667928e+00  1.42548385e+01
  1.55000000e-01]"
55.0,1.0,14.0,904.25,519.51,eye,"[ 1.83043540e-01 -4.64068267e-02  4.69907123e-01  1.60561481e-01
  1.23844717e-01  3.65837056e-01  4.73626201e+03 -1.44275298e+02
  1.68471274e+02  2.94217728e+03  1.44309513e+02  1.01382337e+02
  8.00000000e-03]"
55.0,1.0,15.0,989.47,516.21,eye,"[ 3.84885043e-02 -3.52336213e-02  8.23602723e-02  1.73227737e-02
  2.96424895e-02  6.20513620e-02  1.04529055e+02 -2.35856900e+01
  5.99573742e+01  1.73912957e+01  6.83909184e+00  9.63490495e+00
  2.50000000e-01]"
55.0,1.0,16.0,992.55,515.35,eye,"[ 2.76748122e-01 -3.68954262e-02  3.59082244e-01  2.35497332e-01
  1.38704044e-01  2.97094504e-01  3.35779533e+02  5.02762596e+01
  2.18603043e+02  2.34089317e+02  5.47331467e+01  1.44294559e+02
  6.00000000e-03]"
55.0,1.0,17.0,911.15,518.98,eye,"[ 7.86789129e-02 -7.71965912e-02  1.03290504e-01  2.52391203e-02
  3.18196015e-02  6.25987565e-02  6.19684454e+01 -1.89291816e+01
  6.87125714e+01  9.69778675e+00  5.21180789e+00  1.01857072e+01
  3.11000000e-01]"
55.0,1.0,18.0,892.74,520.24,eye,"[ 3.18899235e-02 -2.21134998e-02  9.42775726e-02  2.14655601e-02
  2.95523842e-02  7.23644095e-02  7.27593648e+01 -1.86282481e+01
  1.38520389e+02  1.43217671e+01  1.13910663e+01  2.74761689e+01
  1.42000000e-01]"
55.0,1.0,19.0,893.8,523.79,eye,"[ 2.07964921e-01 -5.39647317e-02  3.21303753e-01  1.78800182e-01
  1.17871391e-01  2.72191977e-01  8.96705918e+02  1.25580639e+02
  2.98331653e+03  5.79686302e+02  9.46152781e+01  1.81356028e+03
  8.00000000e-03]"
55.0,1.0,20.0,961.93,652.57,mouth_nose,"[ 4.07860581e-02 -4.45615281e-02  8.70120688e-02  1.89249490e-02
  2.53361592e-02  5.94030831e-02  9.08427406e+01 -1.10874733e+01
  9.67369326e+01  1.58554435e+01  8.23869902e+00  1.67293883e+01
  2.37000000e-01]"
55.0,1.0,21.0,963.47,650.68,mouth_nose,"[1.21055463e-01 2.54856312e-02 1.23635258e+00 8.19692123e-02
 1.06011021e-01 7.89829274e-01 1.51496798e+01 1.76123243e+00
 1.16392297e+03 1.17548497e+01 1.31443579e+01 7.89990443e+02
 6.00000000e-03]"
55.0,1.0,22.0,964.58,581.67,mouth_nose,"[ 4.70724127e-02 -2.89702544e-02  6.61413178e-02  2.37896981e-02
  2.90405776e-02  5.16945110e-02  7.07644711e+01 -9.29079264e+00
  1.59047706e+02  1.30940045e+01  1.03829402e+01  2.86289066e+01
  1.96000000e-01]"
55.0,1.0,23.0,964.21,582.11,mouth_nose,"[6.24504814e-01 1.07518474e-01 7.52536079e-01 4.79992689e-01
 1.72410571e-01 3.70183383e-01 1.60228098e+03 1.18624875e+02
 1.37210804e+02 1.04913473e+03 9.44282016e+01 8.49307517e+01
 7.00000000e-03]"
55.0,1.0,24.0,896.25,518.51,eye,"[ 4.35581607e-02 -2.68152877e-02  6.61180914e-02  2.78829139e-02
  3.10675823e-02  5.69066800e-02  1.14797523e+02 -3.03872775e+01
  1.84133729e+02  2.42936364e+01  1.59779254e+01  3.81285377e+01
  1.25000000e-01]"
55.0,1.0,25.0,896.57,528.27,eye,"[ 1.05052573e-01 -3.35230317e-02  3.05832355e-01  9.40369438e-02
  8.08386531e-02  2.48581351e-01  7.43336420e+02 -5.20186635e+00
  7.36517323e+01  5.27080645e+02  5.67962044e+01  5.14117919e+01
  6.00000000e-03]"
55.0,1.0,26.0,921.29,519.41,eye,"[ 5.17206395e-02 -3.86658562e-02  7.19412316e-02  2.50828624e-02
  3.25840440e-02  5.86464032e-02  7.47087061e+01 -2.24986620e+01
  9.70575869e+01  1.40346962e+01  8.59442034e+00  1.77504676e+01
  1.77000000e-01]"
55.0,1.0,27.0,923.22,519.82,eye,"[ 1.87737127e-01 -4.34076280e-02  3.59399374e-01  1.65803903e-01
  1.10878875e-01  2.92245407e-01  3.29272235e+03  1.87305076e+02
  2.34628836e+02  1.99663560e+03  1.33151389e+02  1.41596242e+02
  8.00000000e-03]"
