Subject,Trial,Fixation #,X_Coord,Y_Coord,ROI,feature
20.0,1.0,1.0,961.34,499.18,eye,"[ 5.62624295e-02 -6.84703054e-02  1.18424402e-01  1.47453782e-02
  2.58752132e-02  6.28040968e-02  1.17525188e+02 -2.40304530e+01
  6.65439687e+01  1.53492355e+01  3.80569222e+00  7.66728740e+00
  1.36900000e+00]"
20.0,1.0,2.0,913.5,476.29,eye,"[ 5.86809119e-02 -3.82348849e-02  7.57379202e-02  3.24462886e-02
  3.78607576e-02  6.37662010e-02  9.42271650e+01 -8.83879943e+00
  7.79407523e+01  2.05140916e+01  1.05657303e+01  1.65902345e+01
  1.20000000e-01]"
20.0,1.0,3.0,917.12,477.24,eye,"[ 1.76015225e-01 -4.85007353e-02  6.50621515e-01  1.50161599e-01
  1.27964910e-01  4.16730920e-01  1.08789382e+03 -7.21011025e+01
  9.08335305e+01  7.96318264e+02  7.69660188e+01  6.32178643e+01
  5.00000000e-03]"
20.0,1.0,4.0,873.12,472.78,eye,"[ 1.01537607e-01 -6.24594201e-02  9.13528820e-02  5.21426170e-02
  5.19234070e-02  7.52382024e-02  1.47859175e+02 -2.00933376e+01
  1.31684257e+02  3.06831398e+01  1.57803916e+01  2.66153257e+01
  1.31000000e-01]"
20.0,1.0,5.0,870.77,478.27,eye,"[ 1.14165477e-01 -5.54216286e-02  7.80228273e-01  1.00620031e-01
  1.17519958e-01  3.59550172e-01  5.70277567e+02 -2.84152269e+01
  4.24084092e+01  3.80166791e+02  4.51251084e+01  2.81448222e+01
  7.00000000e-03]"
20.0,1.0,6.0,1001.43,506.41,eye,"[ 6.42916965e-02 -2.90793093e-02  7.65580198e-02  3.23617797e-02
  4.04690938e-02  5.98444138e-02  1.27400218e+02  2.21801487e+01
  1.06159531e+02  2.54534031e+01  1.23956805e+01  2.03399376e+01
  1.53000000e-01]"
20.0,1.0,7.0,998.3,509.13,eye,"[ 5.10115547e-01 -1.75291692e-01  2.45331659e-01  1.32451518e-01
  1.55876283e-01  2.00392377e-01  3.31505549e+01 -1.93808794e+00
  3.20043408e+02  2.52159922e+01  1.69573521e+01  2.08961666e+02
  7.00000000e-03]"
20.0,1.0,8.0,960.51,555.98,mouth_nose,"[ 8.39403961e-02 -6.49099180e-02  8.97071863e-02  3.93340414e-02
  4.23699366e-02  7.07818769e-02  1.56675865e+02 -3.98632944e+01
  1.07499497e+02  3.12222847e+01  1.34942959e+01  2.07400124e+01
  1.48000000e-01]"
20.0,1.0,9.0,961.57,556.63,mouth_nose,"[ 2.42132905e-01 -2.13462016e-02  4.08436197e-01  2.11366111e-01
  1.11169903e-01  2.28624760e-01  1.05685991e+03  8.78952757e+01
  6.00736248e+01  6.62042917e+02  6.78378932e+01  3.72017087e+01
  7.00000000e-03]"
20.0,1.0,10.0,866.58,452.55,,"[ 4.37651129e-02 -2.45153969e-02  8.20738367e-02  1.72948747e-02
  2.81384887e-02  5.15424814e-02  6.79964438e+01  1.85450208e+01
  1.09756928e+02  9.68209630e+00  5.72018068e+00  1.56546175e+01
  4.53000000e-01]"
