,type,first layer,second layer,train,test
466,pupil,120,20,1.0,0.5568627450980392
467,eda,120,20,0.9991452991452991,0.6235294117647058
468,hr,120,30,1.0,0.5372549019607843
469,pupil,120,30,1.0,0.5588235294117646
470,eda,120,30,1.0,0.6176470588235292
471,hr,120,40,1.0,0.5333333333333333
472,pupil,120,40,1.0,0.5549019607843138
473,eda,120,40,1.0,0.5999999999999999
474,hr,120,50,1.0,0.5294117647058824
475,pupil,120,50,1.0,0.5529411764705882
476,eda,120,50,0.9991452991452991,0.6
477,hr,120,60,1.0,0.5039215686274511
478,pupil,120,60,1.0,0.5627450980392156
479,eda,120,60,0.9991452991452991,0.5999999999999999
480,hr,120,70,1.0,0.5098039215686273
481,pupil,120,70,1.0,0.5549019607843138
482,eda,120,70,0.9991452991452991,0.6137254901960784
483,hr,120,80,1.0,0.5254901960784314
484,pupil,120,80,1.0,0.5725490196078431
485,eda,120,80,1.0,0.6176470588235294
486,hr,120,90,1.0,0.5137254901960784
487,pupil,120,90,1.0,0.5607843137254902
488,eda,120,90,1.0,0.6313725490196077
489,hr,120,100,1.0,0.5137254901960784
490,pupil,120,100,1.0,0.5607843137254902
491,eda,120,100,1.0,0.5921568627450979
492,hr,120,110,1.0,0.5156862745098039
493,pupil,120,110,1.0,0.5666666666666667
494,eda,120,110,1.0,0.6058823529411764
495,hr,120,120,1.0,0.5176470588235295
496,pupil,120,120,1.0,0.5647058823529412
497,eda,120,120,1.0,0.6333333333333332
498,hr,120,130,1.0,0.5176470588235293
499,pupil,120,130,1.0,0.5647058823529412
500,eda,120,130,0.9991452991452991,0.5980392156862745
501,hr,120,140,1.0,0.515686274509804
502,pupil,120,140,1.0,0.5549019607843138
503,eda,120,140,1.0,0.6137254901960784
504,hr,130,10,0.9991452991452991,0.5333333333333333
505,pupil,130,10,1.0,0.5666666666666665
506,eda,130,10,0.9974358974358974,0.6058823529411764
507,hr,130,20,1.0,0.5137254901960785
508,pupil,130,20,1.0,0.5705882352941176
509,eda,130,20,0.9982905982905983,0.6058823529411764
510,hr,130,30,1.0,0.5019607843137255
511,pupil,130,30,1.0,0.5745098039215687
512,eda,130,30,1.0,0.5862745098039215
513,hr,130,40,1.0,0.5196078431372549
514,pupil,130,40,1.0,0.5843137254901961
515,eda,130,40,1.0,0.6078431372549019
516,hr,130,50,1.0,0.5137254901960785
517,pupil,130,50,1.0,0.5705882352941176
518,eda,130,50,1.0,0.6058823529411764
519,hr,130,60,1.0,0.5196078431372548
520,pupil,130,60,1.0,0.5647058823529412
521,eda,130,60,1.0,0.6039215686274509
522,hr,130,70,1.0,0.5058823529411763
523,pupil,130,70,1.0,0.5725490196078432
524,eda,130,70,1.0,0.6019607843137255
525,hr,130,80,1.0,0.503921568627451
526,pupil,130,80,1.0,0.5627450980392158
527,eda,130,80,1.0,0.6098039215686274
528,hr,130,90,1.0,0.5117647058823529
529,pupil,130,90,1.0,0.5549019607843136
530,eda,130,90,1.0,0.6078431372549019
531,hr,130,100,1.0,0.492156862745098
532,pupil,130,100,1.0,0.5705882352941176
533,eda,130,100,1.0,0.6156862745098038
534,hr,130,110,1.0,0.5039215686274509
535,pupil,130,110,1.0,0.5666666666666668
536,eda,130,110,1.0,0.6098039215686274
537,hr,130,120,1.0,0.5137254901960785
538,pupil,130,120,1.0,0.5607843137254902
539,eda,130,120,1.0,0.5941176470588234
540,hr,130,130,1.0,0.515686274509804
541,pupil,130,130,1.0,0.5490196078431372
542,eda,130,130,1.0,0.5980392156862744
543,hr,130,140,1.0,0.5039215686274509
544,pupil,130,140,1.0,0.5647058823529412
545,eda,130,140,1.0,0.5980392156862745
546,hr,140,10,0.9914529914529915,0.5117647058823529
547,pupil,140,10,1.0,0.5784313725490197
548,eda,140,10,0.9957264957264957,0.5921568627450979
549,hr,140,20,1.0,0.5117647058823529
550,pupil,140,20,1.0,0.5627450980392157
551,eda,140,20,0.9991452991452991,0.6058823529411765
552,hr,140,30,1.0,0.5176470588235295
553,pupil,140,30,1.0,0.5607843137254902
554,eda,140,30,1.0,0.5980392156862744
555,hr,140,40,1.0,0.492156862745098
556,pupil,140,40,1.0,0.5627450980392157
557,eda,140,40,1.0,0.6078431372549018
558,hr,140,50,1.0,0.5274509803921569
559,pupil,140,50,1.0,0.5568627450980392
560,eda,140,50,1.0,0.6156862745098038
561,hr,140,60,1.0,0.503921568627451
562,pupil,140,60,1.0,0.5823529411764706
563,eda,140,60,0.9991452991452991,0.6235294117647058
564,hr,140,70,1.0,0.515686274509804
565,pupil,140,70,1.0,0.5647058823529412
566,eda,140,70,1.0,0.6333333333333333
567,hr,140,80,1.0,0.5058823529411766
568,pupil,140,80,1.0,0.5666666666666667
569,eda,140,80,1.0,0.6058823529411764
570,hr,140,90,1.0,0.511764705882353
571,pupil,140,90,1.0,0.5843137254901961
572,eda,140,90,1.0,0.5999999999999999
573,hr,140,100,1.0,0.5137254901960785
574,pupil,140,100,1.0,0.5705882352941176
575,eda,140,100,1.0,0.6137254901960784
576,hr,140,110,1.0,0.5058823529411764
577,pupil,140,110,1.0,0.5764705882352941
578,eda,140,110,0.9991452991452991,0.5941176470588234
579,hr,140,120,1.0,0.5176470588235295
580,pupil,140,120,1.0,0.5686274509803921
581,eda,140,120,0.9991452991452991,0.6156862745098038
582,hr,140,130,1.0,0.49999999999999994
583,pupil,140,130,1.0,0.5549019607843136
584,eda,140,130,1.0,0.6039215686274508
585,hr,140,140,1.0,0.5196078431372549
586,pupil,140,140,1.0,0.5843137254901961
587,eda,140,140,0.9982905982905983,0.5980392156862744
