subject,k,train,val,test
2,2,0.6025641025641025,0.45454545454545453,0.4782608695652174
2,3,0.5512820512820513,0.7272727272727273,0.391304347826087
2,4,0.6153846153846154,0.36363636363636365,0.43478260869565216
2,5,0.6282051282051282,0.36363636363636365,0.391304347826087
2,6,0.6410256410256411,0.6363636363636364,0.34782608695652173
2,7,0.6153846153846154,0.6363636363636364,0.4782608695652174
2,8,0.6538461538461539,0.6363636363636364,0.43478260869565216
2,9,0.6794871794871795,0.7272727272727273,0.5217391304347826
4,2,0.5384615384615384,0.45454545454545453,0.30434782608695654
4,3,0.5,0.36363636363636365,0.6086956521739131
4,4,0.5769230769230769,0.5454545454545454,0.4782608695652174
4,5,0.5384615384615384,0.5454545454545454,0.43478260869565216
4,6,0.5384615384615384,0.5454545454545454,0.34782608695652173
4,7,0.5897435897435898,0.45454545454545453,0.43478260869565216
4,8,0.5769230769230769,0.45454545454545453,0.34782608695652173
4,9,0.5897435897435898,0.5454545454545454,0.5652173913043478
10,2,0.6410256410256411,0.18181818181818182,0.34782608695652173
10,3,0.6410256410256411,0.45454545454545453,0.34782608695652173
10,4,0.6666666666666666,0.2727272727272727,0.5217391304347826
10,5,0.6538461538461539,0.6363636363636364,0.4782608695652174
10,6,0.6666666666666666,0.6363636363636364,0.4782608695652174
10,7,0.6794871794871795,0.45454545454545453,0.4782608695652174
10,8,0.6794871794871795,0.6363636363636364,0.5217391304347826
10,9,0.6923076923076923,0.36363636363636365,0.391304347826087
41,2,0.6153846153846154,0.36363636363636365,0.6086956521739131
41,3,0.6153846153846154,0.6363636363636364,0.5652173913043478
41,4,0.6153846153846154,0.7272727272727273,0.43478260869565216
41,5,0.6153846153846154,0.18181818181818182,0.5217391304347826
41,6,0.6153846153846154,0.45454545454545453,0.6086956521739131
41,7,0.6153846153846154,0.18181818181818182,0.5652173913043478
41,8,0.6153846153846154,0.18181818181818182,0.391304347826087
41,9,0.6153846153846154,0.45454545454545453,0.4782608695652174
43,2,0.6153846153846154,0.5454545454545454,0.5652173913043478
43,3,0.5512820512820513,0.45454545454545453,0.5217391304347826
43,4,0.6282051282051282,0.45454545454545453,0.5217391304347826
43,5,0.5641025641025641,0.2727272727272727,0.4782608695652174
43,6,0.5384615384615384,0.7272727272727273,0.43478260869565216
43,7,0.6923076923076923,0.18181818181818182,0.43478260869565216
43,8,0.6923076923076923,0.2727272727272727,0.391304347826087
43,9,0.6025641025641025,0.36363636363636365,0.43478260869565216
44,2,0.6538461538461539,0.2727272727272727,0.5217391304347826
44,3,0.6794871794871795,0.5454545454545454,0.5217391304347826
44,4,0.6410256410256411,0.36363636363636365,0.782608695652174
44,5,0.6666666666666666,0.18181818181818182,0.43478260869565216
44,6,0.6794871794871795,0.6363636363636364,0.6086956521739131
44,7,0.6794871794871795,0.36363636363636365,0.5217391304347826
44,8,0.7051282051282052,0.45454545454545453,0.391304347826087
44,9,0.7051282051282052,0.45454545454545453,0.5652173913043478
45,2,0.6410256410256411,0.5454545454545454,0.6086956521739131
45,3,0.6410256410256411,0.45454545454545453,0.43478260869565216
45,4,0.6282051282051282,0.36363636363636365,0.43478260869565216
45,5,0.6410256410256411,0.36363636363636365,0.43478260869565216
45,6,0.6666666666666666,0.36363636363636365,0.391304347826087
45,7,0.6794871794871795,0.45454545454545453,0.5652173913043478
45,8,0.6794871794871795,0.45454545454545453,0.6086956521739131
45,9,0.7051282051282052,0.45454545454545453,0.5217391304347826
46,2,0.6153846153846154,0.6363636363636364,0.4782608695652174
46,3,0.6153846153846154,0.7272727272727273,0.6521739130434783
46,4,0.6282051282051282,0.6363636363636364,0.6956521739130435
46,5,0.6153846153846154,0.6363636363636364,0.391304347826087
46,6,0.6025641025641025,0.36363636363636365,0.5652173913043478
46,7,0.6666666666666666,0.45454545454545453,0.5217391304347826
46,8,0.6410256410256411,0.2727272727272727,0.43478260869565216
46,9,0.6538461538461539,0.45454545454545453,0.4782608695652174
47,2,0.5769230769230769,0.45454545454545453,0.5652173913043478
47,3,0.5512820512820513,0.36363636363636365,0.391304347826087
47,4,0.5897435897435898,0.45454545454545453,0.6086956521739131
47,5,0.5897435897435898,0.45454545454545453,0.5217391304347826
47,6,0.5641025641025641,0.6363636363636364,0.43478260869565216
47,7,0.5769230769230769,0.45454545454545453,0.6956521739130435
47,8,0.6794871794871795,0.5454545454545454,0.5217391304347826
47,9,0.6666666666666666,0.6363636363636364,0.6521739130434783
48,2,0.5769230769230769,0.36363636363636365,0.4782608695652174
48,3,0.5897435897435898,0.36363636363636365,0.6521739130434783
48,4,0.6794871794871795,0.36363636363636365,0.5652173913043478
