,expName,subject,pairs,cs1,cs2,block,trial,condition,rating,rt,shock,picName,timestamp,morphing level,gender
43,LookAtMe1.2,45,1,2,1,1,44,11,1.0,0.4778716443106532,False,stim\1 M024C.jpg,2019-02-21 09:47:57,1,0
44,LookAtMe1.2,45,1,2,1,1,45,16,4.0,0.6273493692278862,True,stim\2 M024C + M010C.jpg,2019-02-21 09:48:06,6,0
45,LookAtMe1.2,45,1,2,1,1,46,11,1.0,0.4205601466819644,False,stim\1 M024C.jpg,2019-02-21 09:48:16,1,0
46,LookAtMe1.2,45,1,2,1,1,47,46,4.0,0.7632215470075607,True,stim\7 F080C.jpg,2019-02-21 09:48:25,6,1
47,LookAtMe1.2,45,1,2,1,1,48,41,1.0,0.4405416501685977,False,stim\8 F080C + F101C.jpg,2019-02-21 09:48:35,1,1
48,LookAtMe1.2,45,1,2,1,2,49,12,4.0,0.53372857067734,False,stim\morph\1&2 20.jpg,2019-02-21 09:50:37,2,0
49,LookAtMe1.2,45,1,2,1,2,50,16,4.0,0.6086998451501131,True,stim\2 M024C + M010C.jpg,2019-02-21 09:50:45,6,0
50,LookAtMe1.2,45,1,2,1,2,51,15,3.0,1.2369166687130928,False,stim\morph\1&2 80.jpg,2019-02-21 09:50:55,5,0
51,LookAtMe1.2,45,1,2,1,2,52,14,2.0,1.1171081764623525,False,stim\morph\1&2 60.jpg,2019-02-21 09:51:05,4,0
52,LookAtMe1.2,45,1,2,1,2,53,16,5.0,0.5857217628508806,False,stim\2 M024C + M010C.jpg,2019-02-21 09:51:14,6,0
53,LookAtMe1.2,45,1,2,1,2,54,43,3.0,0.6336766490712762,False,stim\morph\7&8 60.jpg,2019-02-21 09:51:24,3,1
54,LookAtMe1.2,45,1,2,1,2,55,45,3.0,0.8442520843818784,False,stim\morph\7&8 20.jpg,2019-02-21 09:51:34,5,1
55,LookAtMe1.2,45,1,2,1,2,56,13,2.0,0.7767931399866939,False,stim\morph\1&2 40.jpg,2019-02-21 09:51:44,3,0
56,LookAtMe1.2,45,1,2,1,2,57,41,1.0,0.7377444617450237,False,stim\8 F080C + F101C.jpg,2019-02-21 09:51:53,1,1
57,LookAtMe1.2,45,1,2,1,2,58,46,3.0,1.0007974449545145,True,stim\7 F080C.jpg,2019-02-21 09:52:02,6,1
58,LookAtMe1.2,45,1,2,1,2,59,11,1.0,1.0971636306494474,False,stim\1 M024C.jpg,2019-02-21 09:52:12,1,0
59,LookAtMe1.2,45,1,2,1,2,60,42,,-99.0,False,stim\morph\7&8 80.jpg,2019-02-21 09:52:20,2,1
60,LookAtMe1.2,45,1,2,1,2,61,46,3.0,0.362684067338705,False,stim\7 F080C.jpg,2019-02-21 09:52:30,6,1
61,LookAtMe1.2,45,1,2,1,2,62,44,1.0,0.6330814193934202,False,stim\morph\7&8 40.jpg,2019-02-21 09:52:39,4,1
62,LookAtMe1.2,45,1,2,1,2,63,16,3.0,0.8912298446521163,False,stim\2 M024C + M010C.jpg,2019-02-21 09:52:48,6,0
63,LookAtMe1.2,45,1,2,1,2,64,15,3.0,0.8265709737315774,False,stim\morph\1&2 80.jpg,2019-02-21 09:52:57,5,0
