,expName,subject,pairs,cs1,cs2,block,trial,condition,rating,rt,shock,picName,timestamp,morphing level,gender
45,LookAtMe,3,1,1,2,1,46,11,1.0,0.5814301613718271,False,stim\2 M024C + M010C.jpg,2018-12-18 18:28:39,1,0
46,LookAtMe,3,1,1,2,1,47,46,5.0,0.680881264153868,True,stim\8 F080C + F101C.jpg,2018-12-18 18:28:47,6,1
47,LookAtMe,3,1,1,2,1,48,41,1.0,0.3373665316030383,False,stim\7 F080C.jpg,2018-12-18 18:28:56,1,1
48,LookAtMe,3,1,1,2,2,49,12,4.0,1.5835073050111532,False,stim\morph\1&2 80.jpg,2018-12-18 18:32:52,2,0
49,LookAtMe,3,1,1,2,2,50,16,4.0,0.5770472169388086,True,stim\1 M024C.jpg,2018-12-18 18:33:01,6,0
50,LookAtMe,3,1,1,2,2,51,15,5.0,1.201128982938826,False,stim\morph\1&2 20.jpg,2018-12-18 18:33:09,5,0
51,LookAtMe,3,1,1,2,2,52,14,2.0,0.6563341314904392,False,stim\morph\1&2 40.jpg,2018-12-18 18:33:18,4,0
52,LookAtMe,3,1,1,2,2,53,16,4.0,0.310371175641194,False,stim\1 M024C.jpg,2018-12-18 18:33:28,6,0
53,LookAtMe,3,1,1,2,2,54,43,3.0,0.8949941226746887,False,stim\morph\7&8 40.jpg,2018-12-18 18:33:37,3,1
54,LookAtMe,3,1,1,2,2,55,45,4.0,0.6618372250813991,False,stim\morph\7&8 80.jpg,2018-12-18 18:33:45,5,1
55,LookAtMe,3,1,1,2,2,56,13,2.0,0.3900526063516736,False,stim\morph\1&2 60.jpg,2018-12-18 18:33:55,3,0
56,LookAtMe,3,1,1,2,2,57,41,2.0,0.4882618696428835,False,stim\7 F080C.jpg,2018-12-18 18:34:05,1,1
57,LookAtMe,3,1,1,2,2,58,46,3.0,0.8206478236243129,True,stim\8 F080C + F101C.jpg,2018-12-18 18:34:14,6,1
58,LookAtMe,3,1,1,2,2,59,11,2.0,0.5949182242620736,False,stim\2 M024C + M010C.jpg,2018-12-18 18:34:23,1,0
59,LookAtMe,3,1,1,2,2,60,42,2.0,0.7291693708393723,False,stim\morph\7&8 20.jpg,2018-12-18 18:34:32,2,1
