Subject,Latent dimension,Feature type,Train accuracy,Test accuracy,Validation accuracy
2,2,hr,0.5,0.4782608695652174,0.2727272727272727
2,2,eda,0.5384615384615384,0.4782608695652174,0.7272727272727273
2,2,pupil,0.5256410256410257,0.5217391304347826,0.2727272727272727
2,3,hr,0.5641025641025641,0.391304347826087,0.4545454545454545
2,3,eda,0.6410256410256411,0.5217391304347826,0.7272727272727273
2,3,pupil,0.6025641025641025,0.4782608695652174,0.7272727272727273
2,4,hr,1.0,0.5217391304347826,0.2727272727272727
2,4,eda,0.6538461538461539,0.6086956521739131,0.5454545454545454
2,4,pupil,0.6153846153846154,0.4782608695652174,0.2727272727272727
2,5,hr,0.9871794871794872,0.5217391304347826,0.2727272727272727
2,5,eda,0.5897435897435898,0.6086956521739131,0.6363636363636364
2,5,pupil,0.5256410256410257,0.5217391304347826,0.2727272727272727
2,6,hr,0.935897435897436,0.5217391304347826,0.2727272727272727
2,6,eda,0.6282051282051282,0.5652173913043478,0.7272727272727273
2,6,pupil,0.5897435897435898,0.5217391304347826,0.7272727272727273
2,7,hr,0.9615384615384616,0.5217391304347826,0.2727272727272727
2,7,eda,0.7564102564102564,0.3478260869565217,0.8181818181818182
2,7,pupil,0.6025641025641025,0.6086956521739131,0.2727272727272727
2,8,hr,0.9871794871794872,0.5217391304347826,0.2727272727272727
2,8,eda,0.6025641025641025,0.5652173913043478,0.9090909090909092
2,8,pupil,0.5512820512820513,0.5217391304347826,0.2727272727272727
2,9,hr,0.9871794871794872,0.5217391304347826,0.2727272727272727
2,9,eda,0.6410256410256411,0.5652173913043478,0.1818181818181818
2,9,pupil,0.5641025641025641,0.5652173913043478,0.2727272727272727
2,10,hr,0.9871794871794872,0.5217391304347826,0.2727272727272727
2,10,eda,0.6410256410256411,0.6521739130434783,0.0
2,10,pupil,0.6410256410256411,0.4347826086956521,0.3636363636363636
4,2,hr,0.5,0.6521739130434783,0.4545454545454545
4,2,eda,0.5512820512820513,0.4782608695652174,0.4545454545454545
4,2,pupil,0.5641025641025641,0.3478260869565217,0.6363636363636364
4,3,hr,0.6666666666666666,0.5217391304347826,0.4545454545454545
4,3,eda,0.5256410256410257,0.3478260869565217,0.4545454545454545
4,3,pupil,0.5384615384615384,0.6521739130434783,0.3636363636363636
4,4,hr,0.9871794871794872,0.3478260869565217,0.6363636363636364
4,4,eda,0.5128205128205128,0.5652173913043478,0.1818181818181818
4,4,pupil,0.6025641025641025,0.3478260869565217,0.6363636363636364
4,5,hr,0.9102564102564102,0.3478260869565217,0.6363636363636364
4,5,eda,0.5512820512820513,0.3478260869565217,0.7272727272727273
4,5,pupil,0.5641025641025641,0.5652173913043478,0.2727272727272727
4,6,hr,0.9487179487179488,0.3478260869565217,0.6363636363636364
4,6,eda,0.5641025641025641,0.6521739130434783,0.2727272727272727
4,6,pupil,0.5,0.6086956521739131,0.6363636363636364
4,7,hr,0.935897435897436,0.3478260869565217,0.6363636363636364
4,7,eda,0.5384615384615384,0.3478260869565217,0.6363636363636364
4,7,pupil,0.6025641025641025,0.3043478260869565,0.5454545454545454
4,8,hr,0.8974358974358975,0.3478260869565217,0.6363636363636364
4,8,eda,0.6282051282051282,0.391304347826087,0.7272727272727273
4,8,pupil,0.5641025641025641,0.3478260869565217,0.8181818181818182
4,9,hr,0.8974358974358975,0.3478260869565217,0.6363636363636364
4,9,eda,0.6282051282051282,0.7391304347826086,0.3636363636363636
4,9,pupil,0.5769230769230769,0.6521739130434783,0.3636363636363636
4,10,hr,0.8717948717948718,0.3478260869565217,0.6363636363636364
4,10,eda,0.6153846153846154,0.4782608695652174,0.8181818181818182
4,10,pupil,0.5512820512820513,0.4347826086956521,0.7272727272727273
10,2,hr,0.6282051282051282,0.4782608695652174,0.5454545454545454
10,2,eda,0.6282051282051282,0.4782608695652174,0.5454545454545454
10,2,pupil,0.6282051282051282,0.4782608695652174,0.5454545454545454
10,3,hr,0.7051282051282052,0.5217391304347826,0.4545454545454545
10,3,eda,0.6153846153846154,0.4782608695652174,0.6363636363636364
10,3,pupil,0.6282051282051282,0.4782608695652174,0.5454545454545454
10,4,hr,0.6538461538461539,0.5217391304347826,0.4545454545454545
10,4,eda,0.6410256410256411,0.4347826086956521,0.6363636363636364
10,4,pupil,0.6282051282051282,0.4782608695652174,0.6363636363636364
10,5,hr,0.6923076923076923,0.5652173913043478,0.4545454545454545
10,5,eda,0.6666666666666666,0.5652173913043478,0.7272727272727273
10,5,pupil,0.6282051282051282,0.4782608695652174,0.5454545454545454
10,6,hr,0.6923076923076923,0.4782608695652174,0.5454545454545454
10,6,eda,0.6923076923076923,0.4782608695652174,0.4545454545454545
10,6,pupil,0.6282051282051282,0.4782608695652174,0.6363636363636364
10,7,hr,0.6538461538461539,0.4782608695652174,0.5454545454545454
10,7,eda,0.6666666666666666,0.4782608695652174,0.3636363636363636
10,7,pupil,0.6282051282051282,0.5652173913043478,0.5454545454545454
10,8,hr,0.6410256410256411,0.4782608695652174,0.5454545454545454
10,8,eda,0.6923076923076923,0.4782608695652174,0.6363636363636364
