,first layer,second layer,train,test
0,10,10,0.9990783026497312,0.6008403361344538
1,10,20,0.9995361781076068,0.6050420168067226
2,10,30,1.0,0.6081932773109244
3,10,40,0.9986263736263737,0.6123949579831932
4,10,50,0.9986144807573378,0.60609243697479
5,10,60,0.9995421245421247,0.6123949579831933
6,10,70,0.9995421245421247,0.5840336134453781
7,10,80,1.0,0.5987394957983193
8,10,90,1.0,0.5976890756302521
9,10,100,0.9990842490842491,0.5966386554621849
10,10,110,1.0,0.6239495798319327
11,10,120,1.0,0.611344537815126
12,10,130,0.9986263736263735,0.6092436974789918
13,10,140,0.9995421245421247,0.5976890756302521
14,10,150,1.0,0.5997899159663865
15,10,160,1.0,0.6165966386554621
16,10,170,1.0,0.6039915966386555
17,10,180,0.9990842490842491,0.6165966386554622
18,10,190,0.9995421245421247,0.5913865546218487
19,10,200,0.9990783026497312,0.638655462184874
20,10,210,1.0,0.611344537815126
21,10,220,1.0,0.5861344537815125
22,10,230,0.9995361781076068,0.5871848739495799
23,10,240,0.9981566052994625,0.6018907563025211
24,10,250,0.9990783026497312,0.6186974789915968
25,10,260,0.9995361781076068,0.6050420168067226
26,10,270,1.0,0.6050420168067226
27,10,280,0.9995361781076068,0.6176470588235293
28,10,290,1.0,0.6092436974789915
29,20,10,1.0,0.6134453781512604
30,20,20,1.0,0.6039915966386555
31,20,30,1.0,0.60609243697479
32,20,40,1.0,0.6165966386554622
33,20,50,1.0,0.611344537815126
34,20,60,1.0,0.6218487394957984
35,20,70,1.0,0.611344537815126
36,20,80,1.0,0.611344537815126
37,20,90,1.0,0.611344537815126
38,20,100,1.0,0.5934873949579832
39,20,110,1.0,0.601890756302521
40,20,120,1.0,0.6102941176470588
41,20,130,1.0,0.6029411764705882
42,20,140,1.0,0.5934873949579832
43,20,150,1.0,0.6144957983193277
44,20,160,1.0,0.6092436974789915
45,20,170,1.0,0.6008403361344538
46,20,180,1.0,0.6144957983193278
47,20,190,1.0,0.6039915966386554
48,20,200,1.0,0.6050420168067225
49,20,210,1.0,0.6050420168067226
50,20,220,1.0,0.611344537815126
51,20,230,1.0,0.6092436974789915
52,20,240,1.0,0.6144957983193278
53,20,250,1.0,0.5997899159663865
54,20,260,1.0,0.6113445378151262
55,20,270,1.0,0.6155462184873949
56,20,280,1.0,0.6134453781512604
57,20,290,1.0,0.5966386554621849
58,30,10,1.0,0.6081932773109244
59,30,20,1.0,0.6092436974789914
60,30,30,1.0,0.5976890756302522
61,30,40,1.0,0.6207983193277312
62,30,50,1.0,0.6060924369747899
63,30,60,1.0,0.601890756302521
64,30,70,1.0,0.6271008403361344
65,30,80,1.0,0.6228991596638656
66,30,90,1.0,0.6186974789915967
67,30,100,1.0,0.6228991596638656
68,30,110,1.0,0.625
69,30,120,1.0,0.601890756302521
70,30,130,1.0,0.6144957983193278
71,30,140,1.0,0.6134453781512604
72,30,150,1.0,0.601890756302521
73,30,160,1.0,0.6155462184873949
74,30,170,1.0,0.6092436974789915
75,30,180,1.0,0.6155462184873951
76,30,190,1.0,0.6092436974789914
77,30,200,1.0,0.6092436974789915
78,30,210,1.0,0.6292016806722689
79,30,220,1.0,0.6029411764705882
80,30,230,1.0,0.6250000000000001
81,30,240,1.0,0.6081932773109244
82,30,250,1.0,0.6134453781512604
83,30,260,1.0,0.6081932773109244
