subject,fold,train
2,0,0.8089887640449438
2,1,0.8539325842696629
2,2,0.797752808988764
4,0,0.8089887640449438
4,1,0.7640449438202247
4,2,0.7640449438202247
10,0,0.7415730337078652
10,1,0.797752808988764
10,2,0.7640449438202247
41,0,0.8202247191011236
41,1,0.8202247191011236
41,2,0.8426966292134831
43,0,0.8426966292134831
43,1,0.8314606741573034
43,2,0.8876404494382022
44,0,0.8426966292134831
44,1,0.8426966292134831
44,2,0.797752808988764
45,0,0.8314606741573034
45,1,0.8651685393258427
45,2,0.8764044943820225
46,0,0.7752808988764045
46,1,0.797752808988764
46,2,0.7865168539325843
47,0,0.7865168539325843
47,1,0.8202247191011236
47,2,0.8314606741573034
48,0,0.7865168539325843
48,1,0.8764044943820225
48,2,0.8314606741573034
49,0,0.7640449438202247
49,1,0.7528089887640449
49,2,0.7640449438202247
50,0,0.8539325842696629
50,1,0.8202247191011236
50,2,0.8202247191011236
51,0,0.8202247191011236
51,1,0.8314606741573034
51,2,0.7865168539325843
52,0,0.8089887640449438
52,1,0.7528089887640449
52,2,0.8089887640449438
53,0,0.8089887640449438
53,1,0.8089887640449438
53,2,0.8202247191011236
54,0,0.8764044943820225
54,1,0.8539325842696629
54,2,0.8539325842696629
55,0,0.8089887640449438
55,1,0.7865168539325843
55,2,0.8089887640449438
