subject,k,fold,train,test
2,2,0,0.5280898876404494,0.7391304347826086
2,2,1,0.5955056179775281,0.6521739130434783
2,2,2,0.6292134831460674,0.4782608695652174
2,6,0,0.5842696629213483,0.6086956521739131
2,6,1,0.550561797752809,0.7391304347826086
2,6,2,0.6067415730337079,0.4782608695652174
2,10,0,0.7303370786516854,0.5217391304347826
2,10,1,0.898876404494382,0.5217391304347826
2,10,2,0.797752808988764,0.5652173913043478
2,12,0,0.9213483146067416,0.6956521739130435
2,12,1,0.9887640449438202,0.6086956521739131
2,12,2,0.7303370786516854,0.5652173913043478
