subject,k,fold,train,test
2,2,0,0.5056179775280899,0.4782608695652174
2,2,1,0.6179775280898876,0.7391304347826086
2,2,2,0.4943820224719101,0.5217391304347826
2,3,0,0.21348314606741572,0.391304347826087
2,3,1,0.7865168539325843,0.8695652173913043
2,3,2,0.30337078651685395,0.391304347826087
2,4,0,0.797752808988764,0.8260869565217391
2,4,1,0.7191011235955056,0.6956521739130435
2,4,2,0.3707865168539326,0.30434782608695654
2,5,0,0.3707865168539326,0.5652173913043478
2,5,1,0.6629213483146067,0.5652173913043478
2,5,2,0.6853932584269663,0.7391304347826086
2,6,0,0.5842696629213483,0.782608695652174
2,6,1,0.42696629213483145,0.34782608695652173
2,6,2,0.5842696629213483,0.6956521739130435
4,2,0,0.47191011235955055,0.4782608695652174
4,2,1,0.47191011235955055,0.4782608695652174
4,2,2,0.29213483146067415,0.4782608695652174
4,3,0,0.4157303370786517,0.34782608695652173
4,3,1,0.5842696629213483,0.8260869565217391
4,3,2,0.39325842696629215,0.43478260869565216
4,4,0,0.5730337078651685,0.5217391304347826
4,4,1,0.5393258426966292,0.8260869565217391
4,4,2,0.6067415730337079,0.391304347826087
4,5,0,0.47191011235955055,0.5652173913043478
4,5,1,0.4157303370786517,0.34782608695652173
4,5,2,0.43820224719101125,0.43478260869565216
4,6,0,0.5730337078651685,0.5217391304347826
4,6,1,0.43820224719101125,0.43478260869565216
4,6,2,0.651685393258427,0.391304347826087
10,2,0,0.4157303370786517,0.391304347826087
10,2,1,0.3707865168539326,0.13043478260869565
10,2,2,0.4157303370786517,0.391304347826087
10,3,0,0.6853932584269663,0.6521739130434783
10,3,1,0.6404494382022472,0.8260869565217391
10,3,2,0.4606741573033708,0.5652173913043478
10,4,0,0.5280898876404494,0.5652173913043478
10,4,1,0.5393258426966292,0.6956521739130435
10,4,2,0.550561797752809,0.5652173913043478
10,5,0,0.3146067415730337,0.34782608695652173
10,5,1,0.5393258426966292,0.782608695652174
10,5,2,0.5730337078651685,0.5652173913043478
10,6,0,0.5168539325842697,0.5217391304347826
10,6,1,0.5842696629213483,0.6956521739130435
10,6,2,0.5393258426966292,0.43478260869565216
41,2,0,0.449438202247191,0.4782608695652174
41,2,1,0.6629213483146067,0.34782608695652173
41,2,2,0.43820224719101125,0.6086956521739131
41,3,0,0.5955056179775281,0.6086956521739131
41,3,1,0.7528089887640449,0.43478260869565216
41,3,2,0.5393258426966292,0.4782608695652174
41,4,0,0.5056179775280899,0.6086956521739131
41,4,1,0.47191011235955055,0.4782608695652174
41,4,2,0.4943820224719101,0.391304347826087
41,5,0,0.5393258426966292,0.5652173913043478
41,5,1,0.7191011235955056,0.4782608695652174
41,5,2,0.47191011235955055,0.391304347826087
41,6,0,0.5393258426966292,0.5652173913043478
41,6,1,0.5393258426966292,0.4782608695652174
41,6,2,0.4157303370786517,0.2608695652173913
43,2,0,0.2808988764044944,0.17391304347826086
43,2,1,0.5842696629213483,0.5652173913043478
43,2,2,0.7191011235955056,0.8260869565217391
43,3,0,0.7191011235955056,0.8260869565217391
43,3,1,0.38202247191011235,0.4782608695652174
43,3,2,0.34831460674157305,0.43478260869565216
43,4,0,0.38202247191011235,0.21739130434782608
43,4,1,0.6629213483146067,0.6086956521739131
43,4,2,0.7865168539325843,0.7391304347826086
43,5,0,0.6067415730337079,0.8260869565217391
43,5,1,0.38202247191011235,0.4782608695652174
43,5,2,0.5955056179775281,0.6086956521739131
43,6,0,0.34831460674157305,0.34782608695652173
43,6,1,0.7528089887640449,0.8695652173913043
43,6,2,0.2696629213483146,0.30434782608695654
44,2,0,0.7191011235955056,0.6521739130434783
44,2,1,0.6292134831460674,0.8260869565217391
44,2,2,0.449438202247191,0.6521739130434783
44,3,0,0.42696629213483145,0.5652173913043478
44,3,1,0.48314606741573035,0.43478260869565216
44,3,2,0.4044943820224719,0.6521739130434783
44,4,0,0.550561797752809,0.34782608695652173
44,4,1,0.4943820224719101,0.30434782608695654
44,4,2,0.33707865168539325,0.30434782608695654
44,5,0,0.449438202247191,0.6521739130434783
44,5,1,0.47191011235955055,0.30434782608695654
44,5,2,0.449438202247191,0.5652173913043478
44,6,0,0.651685393258427,0.6521739130434783
44,6,1,0.4606741573033708,0.43478260869565216
44,6,2,0.30337078651685395,0.34782608695652173
45,2,0,0.7640449438202247,0.6521739130434783
45,2,1,0.6741573033707865,0.5652173913043478
45,2,2,0.3258426966292135,0.34782608695652173
45,3,0,0.6067415730337079,0.5652173913043478
45,3,1,0.5168539325842697,0.6521739130434783
45,3,2,0.5955056179775281,0.6956521739130435
45,4,0,0.5955056179775281,0.8695652173913043
45,4,1,0.8089887640449438,0.7391304347826086
45,4,2,0.2247191011235955,0.13043478260869565
45,5,0,0.651685393258427,0.6521739130434783
45,5,1,0.8764044943820225,0.8260869565217391
45,5,2,0.2247191011235955,0.13043478260869565
45,6,0,0.4157303370786517,0.34782608695652173
45,6,1,0.7528089887640449,0.6956521739130435
45,6,2,0.6179775280898876,0.5217391304347826
46,2,0,0.42696629213483145,0.5652173913043478
46,2,1,0.5168539325842697,0.391304347826087
46,2,2,0.5955056179775281,0.6086956521739131
46,3,0,0.550561797752809,0.6086956521739131
46,3,1,0.5168539325842697,0.391304347826087
46,3,2,0.48314606741573035,0.6086956521739131
46,4,0,0.42696629213483145,0.4782608695652174
46,4,1,0.4157303370786517,0.17391304347826086
46,4,2,0.4606741573033708,0.43478260869565216
46,5,0,0.4044943820224719,0.4782608695652174
46,5,1,0.4606741573033708,0.2608695652173913
46,5,2,0.48314606741573035,0.5217391304347826
46,6,0,0.5168539325842697,0.6521739130434783
46,6,1,0.47191011235955055,0.13043478260869565
46,6,2,0.42696629213483145,0.391304347826087
47,2,0,0.4044943820224719,0.391304347826087
47,2,1,0.7640449438202247,0.8260869565217391
47,2,2,0.38202247191011235,0.391304347826087
47,3,0,0.6404494382022472,0.5217391304347826
47,3,1,0.7865168539325843,0.6521739130434783
47,3,2,0.4044943820224719,0.391304347826087
47,4,0,0.5955056179775281,0.6956521739130435
47,4,1,0.7640449438202247,0.8260869565217391
47,4,2,0.6179775280898876,0.6086956521739131
47,5,0,0.7752808988764045,0.782608695652174
