subject,k,fold,train,test
2,2,0,0.5730337078651685,0.6086956521739131
2,2,1,0.5617977528089888,0.5217391304347826
2,2,2,0.5955056179775281,0.5217391304347826
2,6,0,0.5617977528089888,0.43478260869565216
2,6,1,0.5056179775280899,0.7391304347826086
2,6,2,0.6179775280898876,0.4782608695652174
2,10,0,0.4606741573033708,0.30434782608695654
2,10,1,0.48314606741573035,0.391304347826087
2,10,2,0.5730337078651685,0.43478260869565216
2,12,0,0.5393258426966292,0.4782608695652174
2,12,1,0.5617977528089888,0.6521739130434783
2,12,2,0.5955056179775281,0.6086956521739131
2,15,0,0.550561797752809,0.6956521739130435
2,15,1,0.449438202247191,0.34782608695652173
2,15,2,0.5955056179775281,0.5652173913043478
2,20,0,0.5056179775280899,0.391304347826087
2,20,1,0.5730337078651685,0.7391304347826086
2,20,2,0.6067415730337079,0.4782608695652174
2,24,0,0.5730337078651685,0.6956521739130435
2,24,1,0.5168539325842697,0.6956521739130435
2,24,2,0.42696629213483145,0.5217391304347826
