expName,subject,pairs,cs1,cs2,block,trial,condition,rating,rt,shock,picName,timestamp,morphing level,gender,ROI_change,ROI
LookAtMe1.2,54,2,1,2,1,1,31,,-99.0,False,stim\5 F053C + F048C.jpg,2019-04-09 11:08:19,1,1,0.0,eyes
LookAtMe1.2,54,2,1,2,1,2,36,3.0,0.6224863143870607,False,stim\6 F053C.jpg,2019-04-09 11:08:29,6,1,0.0,eyes
LookAtMe1.2,54,2,1,2,1,3,26,3.0,0.5960720897419378,False,stim\3 M078C + M057C.jpg,2019-04-09 11:08:39,6,0,0.0,mouth_nose
LookAtMe1.2,54,2,1,2,1,4,21,4.0,0.516416571335867,False,stim\4 M078C.jpg,2019-04-09 11:08:48,1,0,0.0,mouth_nose
LookAtMe1.2,54,2,1,2,1,5,31,2.0,0.6265303258551285,False,stim\5 F053C + F048C.jpg,2019-04-09 11:08:58,1,1,0.0,eyes
LookAtMe1.2,54,2,1,2,1,6,21,3.0,0.5264603466494009,False,stim\4 M078C.jpg,2019-04-09 11:09:08,1,0,0.0,mouth_nose
LookAtMe1.2,54,2,1,2,1,7,26,3.0,0.5079223143402487,False,stim\3 M078C + M057C.jpg,2019-04-09 11:09:17,6,0,0.0,mouth_nose
LookAtMe1.2,54,2,1,2,1,8,36,2.0,0.4708576676202938,False,stim\6 F053C.jpg,2019-04-09 11:09:26,6,1,0.0,eyes
LookAtMe1.2,54,2,1,2,1,9,21,2.0,1.3410656010964883,False,stim\4 M078C.jpg,2019-04-09 11:09:34,1,0,0.0,mouth_nose
LookAtMe1.2,54,2,1,2,1,10,26,2.0,1.280152433901094,False,stim\3 M078C + M057C.jpg,2019-04-09 11:09:43,6,0,0.0,mouth_nose
LookAtMe1.2,54,2,1,2,1,11,36,1.0,0.779569974867627,False,stim\6 F053C.jpg,2019-04-09 11:09:52,6,1,0.0,eyes
LookAtMe1.2,54,2,1,2,1,12,31,1.0,0.8668934606248513,False,stim\5 F053C + F048C.jpg,2019-04-09 11:10:01,1,1,0.0,eyes
LookAtMe1.2,54,2,1,2,1,13,26,1.0,1.6803938907105476,False,stim\3 M078C + M057C.jpg,2019-04-09 11:10:09,6,0,0.0,mouth_nose
LookAtMe1.2,54,2,1,2,1,14,31,1.0,0.6750410365639254,False,stim\5 F053C + F048C.jpg,2019-04-09 11:10:19,1,1,0.0,eyes
LookAtMe1.2,54,2,1,2,1,15,36,1.0,1.2611480738269163,False,stim\6 F053C.jpg,2019-04-09 11:10:29,6,1,0.0,eyes
LookAtMe1.2,54,2,1,2,1,16,21,2.0,0.3681081063114106,False,stim\4 M078C.jpg,2019-04-09 11:10:38,1,0,0.0,mouth_nose
LookAtMe1.2,54,2,1,2,1,17,26,1.0,1.290842818445526,True,stim\3 M078C + M057C.jpg,2019-04-09 11:10:48,6,0,0.0,mouth_nose
LookAtMe1.2,54,2,1,2,1,18,31,2.0,0.7341700191609561,False,stim\5 F053C + F048C.jpg,2019-04-09 11:10:57,1,1,0.0,eyes
LookAtMe1.2,54,2,1,2,1,19,21,2.0,0.5098050526576117,False,stim\4 M078C.jpg,2019-04-09 11:11:07,1,0,0.0,mouth_nose
LookAtMe1.2,54,2,1,2,1,20,36,2.0,0.9890767520992084,True,stim\6 F053C.jpg,2019-04-09 11:11:15,6,1,0.0,eyes
LookAtMe1.2,54,2,1,2,1,21,31,2.0,0.328667952097021,False,stim\5 F053C + F048C.jpg,2019-04-09 11:11:25,1,1,0.0,eyes
LookAtMe1.2,54,2,1,2,1,22,36,4.0,0.5039311854634434,True,stim\6 F053C.jpg,2019-04-09 11:11:34,6,1,0.0,eyes
LookAtMe1.2,54,2,1,2,1,23,26,5.0,0.5021244656527415,True,stim\3 M078C + M057C.jpg,2019-04-09 11:11:43,6,0,0.0,mouth_nose
LookAtMe1.2,54,2,1,2,1,24,21,3.0,0.4574798888061195,False,stim\4 M078C.jpg,2019-04-09 11:11:51,1,0,0.0,mouth_nose
LookAtMe1.2,54,2,1,2,1,25,26,5.0,0.7208460244582966,False,stim\3 M078C + M057C.jpg,2019-04-09 11:12:00,6,0,0.0,mouth_nose
