expName,subject,pairs,cs1,cs2,block,trial,condition,rating,rt,shock,picName,timestamp,morphing level,gender,ROI
LookAtMe1.2,41,1,1,1,1,1,41,5.0,0.6927269622683525,False,stim\8 F080C + F101C.jpg,2019-02-15 10:51:55,1,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,2,46,1.0,0.6052738958969712,False,stim\7 F080C.jpg,2019-02-15 10:52:05,6,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,3,16,5.0,0.5469092531129718,False,stim\1 M024C.jpg,2019-02-15 10:52:14,6,0,eyes
LookAtMe1.2,41,1,1,1,1,4,11,1.0,0.3873943546786904,False,stim\2 M024C + M010C.jpg,2019-02-15 10:52:23,1,0,eyes
LookAtMe1.2,41,1,1,1,1,5,41,1.0,0.7799372505396605,False,stim\8 F080C + F101C.jpg,2019-02-15 10:52:33,1,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,6,11,1.0,0.587935920804739,False,stim\2 M024C + M010C.jpg,2019-02-15 10:52:42,1,0,eyes
LookAtMe1.2,41,1,1,1,1,7,16,1.0,0.5971498098224401,False,stim\1 M024C.jpg,2019-02-15 10:52:52,6,0,eyes
LookAtMe1.2,41,1,1,1,1,8,46,5.0,0.3748296340927481,False,stim\7 F080C.jpg,2019-02-15 10:53:00,6,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,9,11,3.0,0.5109671261161566,False,stim\2 M024C + M010C.jpg,2019-02-15 10:53:10,1,0,eyes
LookAtMe1.2,41,1,1,1,1,10,16,3.0,0.5443026823922992,False,stim\1 M024C.jpg,2019-02-15 10:53:19,6,0,eyes
LookAtMe1.2,41,1,1,1,1,11,46,3.0,0.5176856173202395,False,stim\7 F080C.jpg,2019-02-15 10:53:28,6,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,12,41,3.0,0.635464140214026,False,stim\8 F080C + F101C.jpg,2019-02-15 10:53:38,1,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,13,16,2.0,1.4553686035797,False,stim\1 M024C.jpg,2019-02-15 10:53:48,6,0,eyes
LookAtMe1.2,41,1,1,1,1,14,41,2.0,0.9768091849982738,False,stim\8 F080C + F101C.jpg,2019-02-15 10:53:57,1,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,15,46,2.0,0.6492421561852098,False,stim\7 F080C.jpg,2019-02-15 10:54:05,6,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,16,11,1.0,1.0147437239065766,False,stim\2 M024C + M010C.jpg,2019-02-15 10:54:15,1,0,eyes
LookAtMe1.2,41,1,1,1,1,17,16,1.0,0.6575777735561132,True,stim\1 M024C.jpg,2019-02-15 10:54:24,6,0,eyes
LookAtMe1.2,41,1,1,1,1,18,41,5.0,0.4707973971962929,False,stim\8 F080C + F101C.jpg,2019-02-15 10:54:33,1,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,19,11,1.0,0.353433521464467,False,stim\2 M024C + M010C.jpg,2019-02-15 10:54:43,1,0,eyes
LookAtMe1.2,41,1,1,1,1,20,46,5.0,0.3748942343518138,True,stim\7 F080C.jpg,2019-02-15 10:54:52,6,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,21,41,1.0,0.464240557514131,False,stim\8 F080C + F101C.jpg,2019-02-15 10:55:02,1,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,22,46,5.0,0.3191241435706615,True,stim\7 F080C.jpg,2019-02-15 10:55:12,6,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,23,16,1.0,0.438291136175394,True,stim\1 M024C.jpg,2019-02-15 10:55:21,6,0,eyes
LookAtMe1.2,41,1,1,1,1,24,11,1.0,0.4962309142574668,False,stim\2 M024C + M010C.jpg,2019-02-15 10:55:31,1,0,eyes
LookAtMe1.2,41,1,1,1,1,25,16,5.0,0.3538932390511036,False,stim\1 M024C.jpg,2019-02-15 10:55:39,6,0,eyes
LookAtMe1.2,41,1,1,1,1,26,46,1.0,0.4219720512628555,True,stim\7 F080C.jpg,2019-02-15 10:55:47,6,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,27,41,1.0,0.6889810124412179,False,stim\8 F080C + F101C.jpg,2019-02-15 10:55:56,1,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,28,11,1.0,0.4025328950956464,False,stim\2 M024C + M010C.jpg,2019-02-15 10:56:05,1,0,eyes
LookAtMe1.2,41,1,1,1,1,29,41,1.0,0.4247495885938406,False,stim\8 F080C + F101C.jpg,2019-02-15 10:56:14,1,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,30,11,1.0,0.5270584542304277,False,stim\2 M024C + M010C.jpg,2019-02-15 10:56:22,1,0,eyes
LookAtMe1.2,41,1,1,1,1,31,16,5.0,0.3140299888327718,True,stim\1 M024C.jpg,2019-02-15 10:56:32,6,0,eyes
LookAtMe1.2,41,1,1,1,1,32,46,5.0,0.3849500380456447,False,stim\7 F080C.jpg,2019-02-15 10:56:41,6,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,33,11,1.0,0.3900441937148571,False,stim\2 M024C + M010C.jpg,2019-02-15 10:56:50,1,0,eyes
LookAtMe1.2,41,1,1,1,1,34,46,4.0,0.3555818758904934,True,stim\7 F080C.jpg,2019-02-15 10:56:58,6,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,35,16,1.0,0.5781454313546419,True,stim\1 M024C.jpg,2019-02-15 10:57:08,6,0,eyes
LookAtMe1.2,41,1,1,1,1,36,41,1.0,0.5748213408514857,False,stim\8 F080C + F101C.jpg,2019-02-15 10:57:17,1,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,37,46,4.0,-0.1966976635158062,False,stim\7 F080C.jpg,2019-02-15 10:57:25,6,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,38,41,1.0,0.4000365966930985,False,stim\8 F080C + F101C.jpg,2019-02-15 10:57:35,1,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,39,16,4.0,0.3499634023755789,True,stim\1 M024C.jpg,2019-02-15 10:57:44,6,0,eyes
LookAtMe1.2,41,1,1,1,1,40,11,2.0,1.2241677604615688,False,stim\2 M024C + M010C.jpg,2019-02-15 10:57:53,1,0,eyes
LookAtMe1.2,41,1,1,1,1,41,16,5.0,0.3380308682098984,False,stim\1 M024C.jpg,2019-02-15 10:58:03,6,0,eyes
LookAtMe1.2,41,1,1,1,1,42,41,1.0,0.5073371576145291,False,stim\8 F080C + F101C.jpg,2019-02-15 10:58:11,1,1,mouth_nose
LookAtMe1.2,41,1,1,1,1,43,46,4.0,0.6637355899438262,True,stim\7 F080C.jpg,2019-02-15 10:58:20,6,1,mouth_nose
