expName,subject,pairs,cs1,cs2,block,trial,condition,rating,rt,shock,picName,timestamp,morphing level,gender,ROI
LookAtMe1.2,51,2,2,1,1,37,36,,-99.0,False,stim\5 F053C + F048C.jpg,2019-03-21 11:28:00,6,1,eyes
LookAtMe1.2,51,2,2,1,1,38,31,1.0,0.3573750779032707,False,stim\6 F053C.jpg,2019-03-21 11:28:09,1,1,eyes
LookAtMe1.2,51,2,2,1,1,39,26,4.0,0.3271190300583839,True,stim\4 M078C.jpg,2019-03-21 11:28:18,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,1,40,21,1.0,0.6059256121516228,False,stim\3 M078C + M057C.jpg,2019-03-21 11:28:27,1,0,mouth_nose
LookAtMe1.2,51,2,2,1,1,41,26,4.0,0.3378142304718494,False,stim\4 M078C.jpg,2019-03-21 11:28:37,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,1,42,31,,-99.0,False,stim\6 F053C.jpg,2019-03-21 11:28:46,1,1,eyes
LookAtMe1.2,51,2,2,1,1,43,36,4.0,0.3514203783124685,True,stim\5 F053C + F048C.jpg,2019-03-21 11:28:56,6,1,eyes
LookAtMe1.2,51,2,2,1,1,44,21,1.0,0.3817401248961687,False,stim\3 M078C + M057C.jpg,2019-03-21 11:29:04,1,0,mouth_nose
LookAtMe1.2,51,2,2,1,1,45,26,4.0,0.5474963709712029,True,stim\4 M078C.jpg,2019-03-21 11:29:12,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,1,46,21,1.0,0.7460130732506514,False,stim\3 M078C + M057C.jpg,2019-03-21 11:29:21,1,0,mouth_nose
LookAtMe1.2,51,2,2,1,1,47,36,4.0,1.483595583587885,True,stim\5 F053C + F048C.jpg,2019-03-21 11:29:29,6,1,eyes
LookAtMe1.2,51,2,2,1,1,48,31,1.0,1.8190451208502048,False,stim\6 F053C.jpg,2019-03-21 11:29:37,1,1,eyes
LookAtMe1.2,51,2,2,1,2,49,22,,-99.0,False,stim\morph\3&4 20.jpg,2019-03-21 11:34:20,2,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,50,26,3.0,0.3971223458647728,True,stim\4 M078C.jpg,2019-03-21 11:34:29,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,51,25,3.0,1.145866084843874,False,stim\morph\3&4 80.jpg,2019-03-21 11:34:37,5,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,52,24,2.0,0.3832367621362209,False,stim\morph\3&4 60.jpg,2019-03-21 11:34:46,4,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,53,26,4.0,1.4365946855396032,False,stim\4 M078C.jpg,2019-03-21 11:34:55,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,54,33,1.0,1.6179029159247875,False,stim\morph\5&6 60.jpg,2019-03-21 11:35:04,3,1,eyes
LookAtMe1.2,51,2,2,1,2,55,35,3.0,1.5976092256605623,False,stim\morph\5&6 20.jpg,2019-03-21 11:35:13,5,1,eyes
LookAtMe1.2,51,2,2,1,2,56,23,3.0,0.7283082250505686,False,stim\morph\3&4 40.jpg,2019-03-21 11:35:22,3,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,57,31,1.0,0.4179042987525463,False,stim\6 F053C.jpg,2019-03-21 11:35:31,1,1,eyes
LookAtMe1.2,51,2,2,1,2,58,36,3.0,0.4008190203458071,True,stim\5 F053C + F048C.jpg,2019-03-21 11:35:41,6,1,eyes
LookAtMe1.2,51,2,2,1,2,59,21,1.0,0.4103658273816108,False,stim\3 M078C + M057C.jpg,2019-03-21 11:35:49,1,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,60,32,4.0,0.528901532292366,False,stim\morph\5&6 80.jpg,2019-03-21 11:35:58,2,1,eyes
LookAtMe1.2,51,2,2,1,2,61,36,3.0,0.3585925791412592,False,stim\5 F053C + F048C.jpg,2019-03-21 11:36:06,6,1,eyes
LookAtMe1.2,51,2,2,1,2,62,34,1.0,0.395779550075531,False,stim\morph\5&6 40.jpg,2019-03-21 11:36:16,4,1,eyes
LookAtMe1.2,51,2,2,1,2,63,26,4.0,1.6680476237088442,False,stim\4 M078C.jpg,2019-03-21 11:36:25,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,64,25,1.0,0.6231031380593777,False,stim\morph\3&4 80.jpg,2019-03-21 11:36:33,5,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,65,35,1.0,1.356758814305067,False,stim\morph\5&6 20.jpg,2019-03-21 11:36:43,5,1,eyes
LookAtMe1.2,51,2,2,1,2,66,36,4.0,0.5437029469758272,True,stim\5 F053C + F048C.jpg,2019-03-21 11:36:53,6,1,eyes
LookAtMe1.2,51,2,2,1,2,67,23,4.0,1.7195152956992388,False,stim\morph\3&4 40.jpg,2019-03-21 11:37:03,3,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,68,26,1.0,1.4316790103912354,True,stim\4 M078C.jpg,2019-03-21 11:37:13,6,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,69,32,4.0,0.3826844990253448,False,stim\morph\5&6 80.jpg,2019-03-21 11:37:22,2,1,eyes
LookAtMe1.2,51,2,2,1,2,70,22,4.0,0.4154374469071626,False,stim\morph\3&4 20.jpg,2019-03-21 11:37:31,2,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,71,36,1.0,0.4014818537980318,False,stim\5 F053C + F048C.jpg,2019-03-21 11:37:41,6,1,eyes
LookAtMe1.2,51,2,2,1,2,72,34,1.0,0.4964938256889581,False,stim\morph\5&6 40.jpg,2019-03-21 11:37:50,4,1,eyes
LookAtMe1.2,51,2,2,1,2,73,31,1.0,0.4901488162577152,False,stim\6 F053C.jpg,2019-03-21 11:37:59,1,1,eyes
LookAtMe1.2,51,2,2,1,2,74,21,1.0,0.4753380883485079,False,stim\3 M078C + M057C.jpg,2019-03-21 11:38:09,1,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,75,24,,-99.0,False,stim\morph\3&4 60.jpg,2019-03-21 11:38:17,4,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,76,33,1.0,0.3374605774879455,False,stim\morph\5&6 60.jpg,2019-03-21 11:38:25,3,1,eyes
LookAtMe1.2,51,2,2,1,2,77,24,2.0,0.773029763251543,False,stim\morph\3&4 60.jpg,2019-03-21 11:38:35,4,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,78,33,1.0,0.3775536883622408,False,stim\morph\5&6 60.jpg,2019-03-21 11:38:45,3,1,eyes
LookAtMe1.2,51,2,2,1,2,79,32,1.0,0.9516349732875824,False,stim\morph\5&6 80.jpg,2019-03-21 11:38:53,2,1,eyes
LookAtMe1.2,51,2,2,1,2,80,25,1.0,0.385219557210803,False,stim\morph\3&4 80.jpg,2019-03-21 11:39:02,5,0,mouth_nose
LookAtMe1.2,51,2,2,1,2,81,26,4.0,0.4000612366944551,True,stim\4 M078C.jpg,2019-03-21 11:39:12,6,0,mouth_nose
