expName,subject,pairs,cs1,cs2,block,trial,condition,rating,rt,shock,picName,timestamp,morphing level,gender,ROI
LookAtMe,4,2,2,1,1,1,31,1.0,1.0796781252138317,False,stim\6 F053C.jpg,2018-12-19 11:26:35,1,1,eyes
LookAtMe,4,2,2,1,1,2,36,1.0,0.7688631569035351,False,stim\5 F053C + F048C.jpg,2018-12-19 11:26:44,6,1,eyes
LookAtMe,4,2,2,1,1,3,26,3.0,0.7375281238928437,False,stim\4 M078C.jpg,2018-12-19 11:26:52,6,0,mouth_nose
LookAtMe,4,2,2,1,1,4,21,1.0,0.7592045736964792,False,stim\3 M078C + M057C.jpg,2018-12-19 11:27:00,1,0,mouth_nose
LookAtMe,4,2,2,1,1,5,31,3.0,0.6496961654629558,False,stim\6 F053C.jpg,2018-12-19 11:27:10,1,1,eyes
LookAtMe,4,2,2,1,1,6,21,1.0,0.6586768897250295,False,stim\3 M078C + M057C.jpg,2018-12-19 11:27:19,1,0,mouth_nose
LookAtMe,4,2,2,1,1,7,26,3.0,0.6362213231623173,False,stim\4 M078C.jpg,2018-12-19 11:27:29,6,0,mouth_nose
LookAtMe,4,2,2,1,1,8,36,1.0,0.7227588603273034,False,stim\5 F053C + F048C.jpg,2018-12-19 11:27:38,6,1,eyes
LookAtMe,4,2,2,1,1,9,21,1.0,0.8991946822497994,False,stim\3 M078C + M057C.jpg,2018-12-19 11:27:47,1,0,mouth_nose
LookAtMe,4,2,2,1,1,10,26,1.0,1.2086662533693016,False,stim\4 M078C.jpg,2018-12-19 11:27:55,6,0,mouth_nose
LookAtMe,4,2,2,1,1,11,36,1.0,1.0459925218019634,False,stim\5 F053C + F048C.jpg,2018-12-19 11:28:03,6,1,eyes
LookAtMe,4,2,2,1,1,12,31,1.0,0.9874695325270296,False,stim\6 F053C.jpg,2018-12-19 11:28:13,1,1,eyes
LookAtMe,4,2,2,1,1,13,26,1.0,0.9148148747626692,False,stim\4 M078C.jpg,2018-12-19 11:28:22,6,0,mouth_nose
LookAtMe,4,2,2,1,1,14,31,1.0,0.5949717077892274,False,stim\6 F053C.jpg,2018-12-19 11:28:31,1,1,eyes
LookAtMe,4,2,2,1,1,15,36,1.0,1.083610666450113,False,stim\5 F053C + F048C.jpg,2018-12-19 11:28:41,6,1,eyes
LookAtMe,4,2,2,1,1,16,21,1.0,0.8421497009694576,False,stim\3 M078C + M057C.jpg,2018-12-19 11:28:51,1,0,mouth_nose
