expName,subject,pairs,cs1,cs2,block,trial,condition,rating,rt,shock,picName,timestamp,morphing level,gender,ROI_change,ROI
LookAtMe,5,1,2,1,1,1,41,2,0.3677911425475031,False,stim\8 F080C + F101C.jpg,2018-12-19 13:14:42,1,1,0.0,mouth_nose
LookAtMe,5,1,2,1,1,2,46,1,0.5997467644046992,False,stim\7 F080C.jpg,2018-12-19 13:14:50,6,1,0.0,mouth_nose
LookAtMe,5,1,2,1,1,3,16,3,0.6880937272217125,False,stim\2 M024C + M010C.jpg,2018-12-19 13:14:59,6,0,0.0,eyes
LookAtMe,5,1,2,1,1,4,11,2,0.6557872775010765,False,stim\1 M024C.jpg,2018-12-19 13:15:08,1,0,0.0,eyes
LookAtMe,5,1,2,1,1,5,41,3,0.381555336760357,False,stim\8 F080C + F101C.jpg,2018-12-19 13:15:17,1,1,0.0,mouth_nose
LookAtMe,5,1,2,1,1,6,11,1,0.3998037334531545,False,stim\1 M024C.jpg,2018-12-19 13:15:26,1,0,0.0,eyes
LookAtMe,5,1,2,1,1,7,16,2,0.3701468212530017,False,stim\2 M024C + M010C.jpg,2018-12-19 13:15:35,6,0,0.0,eyes
LookAtMe,5,1,2,1,1,8,46,2,0.4294390119612217,False,stim\7 F080C.jpg,2018-12-19 13:15:44,6,1,0.0,mouth_nose
LookAtMe,5,1,2,1,1,9,11,1,0.4741713660769164,False,stim\1 M024C.jpg,2018-12-19 13:15:52,1,0,0.0,eyes
LookAtMe,5,1,2,1,1,10,16,1,0.3286315910518169,False,stim\2 M024C + M010C.jpg,2018-12-19 13:16:01,6,0,0.0,eyes
LookAtMe,5,1,2,1,1,11,46,1,0.38302883785218,False,stim\7 F080C.jpg,2018-12-19 13:16:09,6,1,0.0,mouth_nose
LookAtMe,5,1,2,1,1,12,41,1,0.3803850091062486,False,stim\8 F080C + F101C.jpg,2018-12-19 13:16:17,1,1,0.0,mouth_nose
LookAtMe,5,1,2,1,1,13,16,1,0.34170410502702,False,stim\2 M024C + M010C.jpg,2018-12-19 13:16:26,6,0,0.0,eyes
LookAtMe,5,1,2,1,1,14,41,1,0.3402251957450062,False,stim\8 F080C + F101C.jpg,2018-12-19 13:16:35,1,1,0.0,mouth_nose
LookAtMe,5,1,2,1,1,15,46,1,0.4970836457796395,False,stim\7 F080C.jpg,2018-12-19 13:16:45,6,1,0.0,mouth_nose
